data_size,alpha,Epochs,training_size,hidden_nodes,Avg. train_cross_entropy_loss,Avg. val_cross_entropy_loss,Translation (How are you doing)
15000,0.005,10,64,100,5.86098068,5.854941977,cerf servante remplacezle mangea n’est préviens type fainéantes mentait fout conduisez lèvres malchanceuse  enflammé d’accord 
15000,0.005,10,64,500,8.882002196,8.854486025,sidérés discuté bougonne fierai sirène commandes laime déjeuner précautions moqué chier rb lapprécia alentour douche 
15000,0.005,10,64,1000,10.62240628,10.59978613,chanceux vivrai vite  quelle crié poil  chaleur console irons celuici piqué impassible tranquille papier attrapées
15000,0.005,25,64,100,5.812850382,5.808218322,hors tien moindre apprêtées déménager va azeri villes dû liste inapproprié rester attaquer méthodique senti
15000,0.005,25,64,500,8.825001343,8.812111528,mangele perdez informe quoi trompeur dur fermé manqué achètele avons expulsée pouvezvous parlemoi prudence impitoyables
15000,0.005,25,64,1000,10.42898684,10.41947604,jadorais embrasse bouffé mèche plains ceci  gavés généreuse manifeste frais lisezlemoi fera  ont taisezvous  maman
15000,0.005,30,64,100,5.879780867,5.886541419,improvisé besoin jouenous attaquerons bougon trace cuisinier assuré déménager débrouillé témoigné sourire crois débrouillerai revenir
15000,0.005,30,64,500,8.83709238,8.830604113,remarié stable maigrichonnes lait montèrent excusés passetil vidéo plaisantions révéler celleslà redites voistu tué ça 
15000,0.005,30,64,1000,10.51518577,10.49662259,entrer  pancarte disle offremoi sagissaitil café tous mangezle habillé amical jétais absurdité survivra amène davancer
15000,0.005,70,64,100,5.819852669,5.819240237,pipe réveilleles mentez vite  dattendre suisnous fâchée onze perdue attrapez habillé demitour route emballe sinistre
15000,0.005,70,64,500,8.831001914,8.825310287,plaignez mentaux bavarder énervés  droguée parais falsifiée français jamais cd printemps assuré réveille faire dévissezle
15000,0.005,70,64,1000,10.4071286,10.40550284,puis débarrassezvous neuves  hasarde estil perdus détruisla veux dévêts chanceux parodie vaten citron finissonsen travaillera
15000,0.0003,10,64,100,5.903791378,5.915154914,muté larmée seule  astu lheure raccrocha délicat courriel élu nêtesvous mariés ambitieux décris grimaca française
15000,0.0003,10,64,500,8.826429473,8.814998693,poste voté  saoul  lastu cire isolé buvezvous deux connais  aurais garçons gueule jusque matures nature
15000,0.0003,10,64,1000,10.67336266,10.68081732,pesé problème  noyé plaint démontemoi recrutezvous différente terminé sy dépêchonsnous pigé  jhabite devez déquerre escroquerie
15000,0.0003,25,64,100,5.942887109,5.937637989,jhonore taiderai salade qualifié  réservés riposte première grève lapprécie paniquez décidetoi super linstinct froissé tua
15000,0.0003,25,64,500,8.952208017,8.947171248,daccord  gardait tripe survis perdez joues anniversaire  derrière avons malpoli jéternue prospérerai voleur fermé ronronnentils 
15000,0.0003,25,64,1000,10.61112783,10.61362615,minutieuse coriace appelé  ouvrezle mauvais jubilez nourrissent ratons poile poèmes dépêcher  miel indemne cela  brûlée
15000,0.0003,30,64,100,5.957387814,5.964671545,jélève parvenezvous rechercherai étaientils neiger rapides rédigé aveugle pardonnemoi montrezlemoi empruntée ans approche maniezvous pardonne
15000,0.0003,30,64,500,9.012398167,9.027707212,soulagement membre logique ridicule épouse seras soin enseignante prenons appréciait vacances bonnes nus lemprunter  poumons
15000,0.0003,30,64,1000,10.63789475,10.61954028,absurde mode cidessous appelés étranglé cligné creuser marrants équipage refusé suggestions ninterromps folles pouvais scotch
15000,0.0003,70,64,100,5.995824904,5.996023107,dargent siffla gérerai commentez convient pareil cassés dingues zambie étourdi esseulé sûres  désir dentre affreux
15000,0.0003,70,64,500,8.866707068,8.87212606,sonner danseur genre corneilles marche sensé ditesle jarrangerai intentions testu envieuse figé bas tes allonsy
15000,0.0003,70,64,1000,10.63496597,10.62851711,bol piégé abîmés maider  nie rêveur entrés cherchele  demain sidérée vôtres  obéissantes lutté montrelenous achetons
15000,0.0001,10,64,100,5.913495469,5.92196251,entraînée pouvezvous bébés prospérer lor hurlait partageonsla continuez méchappe tes lourd rendus détruisle pousse comment
15000,0.0001,10,64,500,8.906057521,8.907555252,renvoyez écrire lapidé marchera non laissées oubliezle faitesle fatigués redemandez secrets aidera jallais grogna tentele
15000,0.0001,10,64,1000,10.6531006,10.66443895,génial  valises bœuf marrants veine jeune poursuivons éveillée estce  flic plantés affaire  discrète savezvous  habillée
15000,0.0001,25,64,100,6.031918393,6.031489805,passera arrivera leva cousue romantique  fâche allée  secoué poil chantemoi bandez gloussa facilement largent perdis
15000,0.0001,25,64,500,8.935448025,8.937134506,siennes anéantie minsultez bleu combattre courage jenseigne copine connaissez  jarrêterai hypothèse choisissezmoi mets vendus conduisez
15000,0.0001,25,64,1000,10.68981504,10.6995172,t’es haleine pincée rapprochezle clémentes vibre travaillerons dispute regardezmoi stable peuventelles ouvrela oublie démarrée finira
15000,0.0001,30,64,100,6.041085196,6.037691909,animaux étroit passé envoiemoi meurt dérangera coupé bandez bénéfique firefox lèverai serviette parais habillées dé
15000,0.0001,30,64,500,8.953101686,8.967396639,sensass écrasées jirai pleuré masseoir cuillère conduit utilise conclue demandais interrogez désarmée reproche brûler regardemoi
15000,0.0001,30,64,1000,10.70652829,10.71130976,fascinée aviateur chiens taquin sourit donna disparu spécieux rare suisje péri dressé échauffetoi dépend étaient
15000,0.0001,70,64,100,5.959453192,5.95930064,emploi fiévreux met joli raser hockey encas taisonsnous ingénue patients menottezle faitesen douloureux sentez américain
15000,0.0001,70,64,500,8.983956048,8.989813508,laissèrent réussira permettrai barré disle douche  gentils raciste  jai laide  démissionné  didentité rendonsnous faitil  judicieux
15000,0.0001,70,64,1000,10.6446306,10.65081747,parfaite arrêtions dépasse peuxtu rompre frappée continuerai fête congés descendit attaqué dormis tont mentait fallait
25000,0.005,10,128,100,5.972855658,5.956238806,arnaque dirigeons tricher apprend sa liste intéressée portent bizuth trompez allure laffaire lents petit malins
25000,0.005,10,128,500,8.958733549,8.951512075,préparées remué ambitieuse ruinée requiers apprendre thomas fainéant réussite gérant luisant chaise nagerons bestiole chantaient
25000,0.005,10,128,1000,10.70823301,10.6658738,ralenti cries espère célibataire rédigé regards jappellerai vantait existent possible certain mouillée ventilateur rendez grenier
25000,0.005,25,128,100,6.009637055,6.001862822,conduit italie pété synchronisées sauté induit nourri hommes gloussa tadmirons arnaquer jumelle détruirai armés évanoui
25000,0.005,25,128,500,8.916599397,8.907379898,escroquerie s’est puissantes concentrée enterrele célébrais pause 110 oh  avisemoi naurai dîner ennemi miséricordieuses assurées
25000,0.005,25,128,1000,10.53623454,10.52047205,fraîches ivre témoin étape daboyer tranquillisezvous secouetoi bénite drôle  portetelle admirait choisisen laissezvous réglais dapplaudir
25000,0.005,30,128,100,6.002278809,5.990235827,innocents inspiré verrouillé savezvous  redites clé ils apprêtés sommesnous vacances  déception musulmane aha durcit rondes
25000,0.005,30,128,500,8.919778242,8.918965146,ty folle trace ma ivre  tînmes aille véhiculée manger  là sursauter suivis boulangère suis  paye
25000,0.005,30,128,1000,10.59335613,10.58558766,bien  assez ouverte dollars tenu échappons dormir  préjugés procédé loupé partîmes excité direzvous là  manquerez
25000,0.005,70,128,100,5.932651948,5.933417224,fous  mort trouvai crédules allezvousen bloquée hésites objectifs lespoir rusés bol embrassés oublié justice haut
25000,0.005,70,128,500,8.868566023,8.85855298,nager donneleslui las comprenezvous  examen autres  rechargez sontelles lave rencontrai stylo  amendé déchet bar appliqué
25000,0.005,70,128,1000,10.47234355,10.4662443,cherchestu  vont creusez évadé ambitieux calmes froissé nerveuse latin réconfortant détendezvous réagi  plierai viral derrière 
25000,0.0003,10,128,100,6.076036314,6.077085396,laissemoi connaître difficile  paiera amuser saouls cierges rendrezvous argument posele essaient surexcité disparu nexagérez grognon
25000,0.0003,10,128,500,9.125384167,9.121974888,ménage quant cuisiné  tenté dissue vu  craignaient ennuyions marchera laissezlemoi vague anéanti immobile appréciestu bons
25000,0.0003,10,128,1000,10.77784983,10.77182643,préférerais grosses neige binoclard demain pleurezvous moine farce mentendezvous dîner lent couriez  envoyez cuisiné tracassez
